rep_id	rep_name	rating	members
511145.12	Escherichia coli str. K-12 substr. MG1655	NCBI_REF	102358
83332.12	Mycobacterium tuberculosis H37Rv	NCBI_REF	29274
764298.7	Streptococcus macacae NCTC 11558	NORMAL	26805
176280.10	Staphylococcus epidermidis ATCC 12228	NCBI_REF	24082
242231.10	Neisseria gonorrhoeae FA 1090	NCBI_REF	15493
208964.12	Pseudomonas aeruginosa PAO1	NCBI_REF	13733
871585.3	Acinetobacter calcoaceticus PHEA-2	NCBI_REF	12282
160490.10	Streptococcus pyogenes M1 GAS	NCBI_REF	8039
192222.6	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	NCBI_REF	7224
169963.11	Listeria monocytogenes EGD-e	NCBI_REF	5804
312309.11	Vibrio fischeri ES114	NCBI_REF	5578
243160.12	Burkholderia mallei ATCC 23344	NCBI_REF	5428
1352.14276	Enterococcus faecium Sample_1	NORMAL	5279
226900.8	Bacillus cereus ATCC 14579	NCBI_REF	4036
226185.9	Enterococcus faecalis V583	NCBI_REF	3776
190485.4	Xanthomonas campestris pv. campestris str. ATCC 33913	NCBI_REF	3654
176299.10	Agrobacterium fabrum str. C58	NCBI_REF	3202
295405.11	Bacteroides fragilis YCH46	NCBI_REF	2779
100226.15	Streptomyces coelicolor A3(2)	NCBI_REF	2748
85962.8	Helicobacter pylori 26695	NCBI_REF	2544
272563.8	Clostridium difficile 630	NCBI_REF	2499
71421.8	Haemophilus influenzae Rd KW20	NCBI_REF	2270
224308.43	Bacillus subtilis subsp. subtilis str. 168	NCBI_REF	2123
36809.5	Mycobacterium abscessus strain ATCC 19977	NCBI_REF	2067
568707.3	Bordetella bronchiseptica 253	NCBI_REF	1776
206672.9	Bifidobacterium longum NCC2705	NCBI_REF	1529
520461.7	Brucella pinnipedialis B2/94	NCBI_REP	1293
2029683.3	Photorhabdus sp. S9-53	NORMAL	1252
218936.3	Aeromonas simiae CIP 107798	NCBI_REP	1144
1320556.3	Mesorhizobium sp. NBIMC_P2-C3	NCBI_REP	1137
272624.6	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	NCBI_REF	1077
402612.5	Flavobacterium psychrophilum JIP02/86	NCBI_REF	1058
177416.18	Francisella tularensis subsp. tularensis SCHU S4	NCBI_REF	972
220668.9	Lactobacillus plantarum WCFS1	NCBI_REF	929
224911.5	Bradyrhizobium japonicum USDA 110	NCBI_REF	875
693978.3	Riemerella anatipestifer ATCC 11845 = DSM 15868	NCBI_REP	859
267608.8	Ralstonia solanacearum GMI1000	NCBI_REP	856
1224164.3	Corynebacterium vitaeruminis DSM 20294	NCBI_REP	853
570417.4	Wolbachia endosymbiont of Culex quinquefasciatus Pel strain wPip	NCBI_REP	838
272621.13	Lactobacillus acidophilus NCFM	NCBI_REF	776
1448389.3	Tomitella biformata AHU 1821	NCBI_REP	743
575594.3	Lactobacillus coleohominis 101-4-CHN	NCBI_REP	692
290055.14	Faecalicatena fissicatena strain An773	NORMAL	649
441771.6	Clostridium botulinum A str. Hall	NCBI_REF	643
189518.3	Leptospira interrogans serovar Lai str. 56601	NCBI_REF	605
203120.7	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	NCBI_REP	580
246196.19	Mycobacterium smegmatis str. MC2 155	NCBI_REF	554
321967.11	Lactobacillus casei ATCC 334	NCBI_REF	553
535289.3	Acidovorax ebreus TPSY	NCBI_REP	523
267747.3	Propionibacterium acnes KPA171202	NCBI_REP	513
272623.7	Lactococcus lactis subsp. lactis Il1403	NCBI_REF	513
867900.3	Cellulophaga lytica DSM 7489	NCBI_REP	498
1167632.5	Staphylococcus vitulinus F1028	NCBI_REP	484
1549858.3	Sphingomonas taxi ATCC 55669	NCBI_REP	473
2796132.3	Pseudoalteromonas sp. BDTF-M6	NORMAL	465
211586.12	Shewanella oneidensis MR-1	NCBI_REF	455
361575.7	Arthrobacter phenanthrenivorans SWC37	NCBI_REP	454
1391995.3	Mycobacterium avium subsp. paratuberculosis 10-5975	NORMAL	452
979556.3	Microbacterium testaceum StLB037	NCBI_REP	442
