genome_id	genome_name	taxonomy
1000562.3	Streptococcus phocae C-4	Streptococcus phocae, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1000566.3	Saccharopolyspora lacisalsi strain DSM 45975	Halosaccharopolyspora lacisalsi, Halosaccharopolyspora, Pseudonocardiaceae, Pseudonocardiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1000569.4	Megasphaera sp. UPII 135-E	Megasphaera sp. UPII 135-E, unclassified Megasphaera, Megasphaera, Veillonellaceae, Veillonellales, Negativicutes, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1001240.4	Cryobacterium roopkundense RuG17	Cryobacterium roopkundense, Cryobacterium, Microbacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1001994.6	Candidatus Nitrosoarchaeum koreensis MY1	Nitrosarchaeum koreense, Nitrosarchaeum, Nitrosopumilaceae, Nitrosopumilales, Thaumarchaeota, TACK group, Archaea, cellular organisms
1002116.4	Pigmentiphaga sp. D-2	Pigmentiphaga sp. D-2, unclassified Pigmentiphaga, Pigmentiphaga, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
100226.15	Streptomyces coelicolor A3(2)	Streptomyces coelicolor, Streptomyces albidoflavus group, Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1002691.3	Occallatibacter savannae strain AB23	Occallatibacter savannae, Occallatibacter, Acidobacteriaceae, Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria, cellular organisms
1002795.3	Pectinatus sottacetonis strain MB620	Pectinatus sottacetonis, Pectinatus, Selenomonadaceae, Selenomonadales, Negativicutes, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1002804.6	Helicobacter bizzozeronii CIII-1	Helicobacter bizzozeronii, Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1002809.3	Solibacillus silvestris StLB046	Solibacillus silvestris, Solibacillus, Planococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1002870.3	Gaiella occulta strain F2-233	Gaiella occulta, Gaiella, Gaiellaceae, Gaiellales, Rubrobacteria, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1003.8	Thermoflexibacter ruber strain GEY, DSM 9560	Thermoflexibacter ruber, Thermoflexibacter, Thermoflexibacteraceae, Cytophagales, Cytophagia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1003091.3	Methylobacterium thuringiense DSM 23674	Methylobacterium thuringiense, Methylobacterium, Methylobacteriaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1003195.11	Streptomyces cattleya NRRL 8057 = DSM 46488	Streptomyces cattleya, Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1004304.4	Hydrotalea sandarakina strain DSM 23241	Hydrotalea sandarakina, Hydrotalea, Chitinophagaceae, Chitinophagales, Chitinophagia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
100469.3	Actinomyces canis strain OH770	Schaalia canis, Schaalia, Actinomycetaceae, Actinomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1005057.4	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera aphidicola, Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1005058.3	Gallibacterium anatis UMN179	Gallibacterium anatis, Gallibacterium, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1005090.4	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera aphidicola, Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1005740.3	Aminivibrio pyruvatiphilus strain DSM 25964	Aminivibrio pyruvatiphilus, Aminivibrio, Synergistaceae, Synergistales, Synergistia, Synergistetes, Bacteria, cellular organisms
1005928.7	Roseovarius lutimaris strain DSM 28463	Roseovarius lutimaris, Roseovarius, Roseobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1005944.4	Nocardioides szechwanensis strain CGMCC 1.11147	Nocardioides szechwanensis, Nocardioides, Nocardioidaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1005945.5	Nocardioides psychrotolerans strain CGMCC 1.11156	Nocardioides psychrotolerans, Nocardioides, Nocardioidaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1005995.4	Tatumella ptyseos ATCC 33301	Tatumella ptyseos, Tatumella, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1006006.8	Metallosphaera cuprina Ar-4	Metallosphaera cuprina, Metallosphaera, Sulfolobaceae, Sulfolobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms
1006576.10	Defluviitoga tunisiensis strain L3	Defluviitoga tunisiensis, Defluviitoga, Petrotogaceae, Petrotogales, Thermotogae, Thermotogae, Bacteria, cellular organisms
1007092.3	Microlunatus terrae strain DSM 26486	Microlunatus terrae, Microlunatus, Propionibacteriaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1007096.3	Oscillibacter ruminantium GH1	Oscillibacter ruminantium, Oscillibacter, Oscillospiraceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1007099.7	Pseudomonas kuykendallii LMG 26346	Pseudomonas kuykendallii, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1007105.3	Pusillimonas sp. T7-7	Pusillimonas sp. T7-7, unclassified Pusillimonas, Pusillimonas (ex Stolz et al. 2005), Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1008298.3	Mycobacterium leprae Kyoto-2	Mycobacterium leprae, Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1008305.7	Fervidobacterium thailandense strain SpSt-1077	Fervidobacterium thailandense, Fervidobacterium, Fervidobacteriaceae, Thermotogales, Thermotogae, Thermotogae, Bacteria, cellular organisms
1008308.3	Fusibacter tunisiensis strain DSM 24436	Fusibacter tunisiensis, Fusibacter, Eubacteriales Family XII. Incertae Sedis, Eubacteriales incertae sedis, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1008392.4	Chitinispirillum alkaliphilum strain ACht6-1	Chitinispirillum alkaliphilum, Chitinispirillum, Chitinispirillaceae, Chitinispirillales, Chitinispirillia, Fibrobacteres, FCB group, Bacteria, cellular organisms
1008459.4	Taylorella asinigenitalis MCE3	Taylorella asinigenitalis, Taylorella, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
100901.6	Wolbachia endosymbiont of Onchocerca ochengi strain wOo	Wolbachia endosymbiont of Onchocerca ochengi, unclassified Wolbachia, Wolbachia, Wolbachieae, Anaplasmataceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1009370.3	Acetonema longum DSM 6540	Acetonema longum, Acetonema, Sporomusaceae, Selenomonadales, Negativicutes, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1009858.3	Buchnera aphidicola str. G002 (Myzus persicae)	Buchnera aphidicola, Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1010611.6	Lutimaribacter litoralis strain DSM 29506	Thalassobius litoralis, Thalassobius, Roseobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1010676.8	Candidatus Tremblaya phenacola strain PPER	Candidatus Tremblaya phenacola, Candidatus Tremblaya, Betaproteobacteria incertae sedis, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
101383.4	Cryomorpha ignava strain QSSC 1-22	Cryomorpha ignava, Cryomorpha, Cryomorphaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
101534.3	Candidatus Blochmannia pennsylvanicus B_Penn7	Candidatus Blochmannia pennsylvanicus, Candidatus Blochmannia, ant endosymbionts, ant, tsetse, mealybug, aphid, etc. endosymbionts, Enterobacteriaceae incertae sedis, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
102125.7	Xenococcus sp. PCC 7305	Xenococcus sp. PCC 7305, unclassified Xenococcus, Xenococcus, Xenococcaceae, Pleurocapsales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms
102129.3	Leptolyngbya sp. PCC 7375	Leptolyngbya sp. PCC 7375, unclassified Leptolyngbya, Leptolyngbya, Leptolyngbyaceae, Pseudanabaenales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms
1026882.3	Methylophaga aminisulfidivorans MP	Methylophaga aminisulfidivorans, Methylophaga, Piscirickettsiaceae, Thiotrichales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1027249.3	Gracilibacillus kekensis strain CGMCC 1.10681	Gracilibacillus kekensis, Gracilibacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1027633.3	Enteractinococcus coprophilus strain DSM 24083	Enteractinococcus coprophilus, Enteractinococcus, Micrococcaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1028800.3	Neorhizobium galegae bv. orientalis str. HAMBI 540	Neorhizobium galegae, Neorhizobium, Rhizobium/Agrobacterium group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1029756.8	Hyphomicrobium nitrativorans NL23	Hyphomicrobium nitrativorans, Hyphomicrobium, Hyphomicrobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1030157.3	Sphingomonas sp. KC8	Sphingomonas sp. KC8, unclassified Sphingomonas, Sphingomonas, Sphingomonadaceae, Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1030841.3	Neisseria wadsworthii 9715	Neisseria wadsworthii, Neisseria, Neisseriaceae, Neisseriales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1031537.3	Blastopirellula cremea strain HEX-1 MGV	Blastopirellula cremea, Blastopirellula, Pirellulaceae, Pirellulales, Planctomycetia, Planctomycetes, PVC group, Bacteria, cellular organisms
